"thresholds","sen","spe","acc","youden"
0,1,0,0.51,0
0.01,1,0,0.51,0
0.02,1,0,0.51,0
0.03,1,0,0.51,0
0.04,1,0,0.51,0
0.05,1,0,0.51,0
0.06,1,0,0.51,0
0.07,1,0,0.51,0
0.08,1,0,0.51,0
0.09,1,0,0.51,0
0.1,1,0,0.51,0
0.11,1,0,0.51,0
0.12,1,0,0.51,0
0.13,1,0,0.51,0
0.14,1,0,0.51,0
0.15,1,0,0.51,0
0.16,1,0.02,0.52,0.02
0.17,1,0.05,0.53,0.05
0.18,1,0.07,0.54,0.07
0.19,1,0.15,0.58,0.15
0.2,1,0.17,0.59,0.17
0.21,1,0.32,0.66,0.32
0.22,1,0.32,0.66,0.32
0.23,1,0.34,0.67,0.34
0.24,1,0.34,0.67,0.34
0.25,1,0.41,0.71,0.41
0.26,1,0.44,0.72,0.44
0.27,0.98,0.46,0.72,0.44
0.28,0.95,0.46,0.71,0.42
0.29,0.95,0.46,0.71,0.42
0.3,0.95,0.49,0.72,0.44
0.31,0.95,0.51,0.73,0.46
0.32,0.95,0.51,0.73,0.46
0.33,0.95,0.59,0.77,0.54
0.34,0.95,0.59,0.77,0.54
0.35,0.93,0.59,0.76,0.51
0.36,0.9,0.61,0.76,0.51
0.37,0.9,0.61,0.76,0.51
0.38,0.88,0.61,0.75,0.49
0.39,0.86,0.61,0.73,0.47
0.4,0.86,0.61,0.73,0.47
0.41,0.86,0.63,0.75,0.49
0.42,0.83,0.66,0.75,0.49
0.43,0.83,0.66,0.75,0.49
0.44,0.79,0.68,0.73,0.47
0.45,0.79,0.68,0.73,0.47
0.46,0.71,0.71,0.71,0.42
0.47,0.71,0.73,0.72,0.45
0.48,0.71,0.73,0.72,0.45
0.49,0.71,0.73,0.72,0.45
0.5,0.69,0.73,0.71,0.42
0.51,0.69,0.73,0.71,0.42
0.52,0.67,0.73,0.7,0.4
0.53,0.67,0.78,0.72,0.45
0.54,0.62,0.8,0.71,0.42
0.55,0.62,0.85,0.73,0.47
0.56,0.62,0.85,0.73,0.47
0.57,0.62,0.9,0.76,0.52
0.58,0.62,0.9,0.76,0.52
0.59,0.6,0.9,0.75,0.5
0.6,0.57,0.9,0.73,0.47
0.61,0.57,0.9,0.73,0.47
0.62,0.57,0.9,0.73,0.47
0.63,0.57,0.9,0.73,0.47
0.64,0.55,0.9,0.72,0.45
0.65,0.55,0.93,0.73,0.47
0.66,0.55,0.93,0.73,0.47
0.67,0.55,0.93,0.73,0.47
0.68,0.52,0.93,0.72,0.45
0.69,0.52,0.93,0.72,0.45
0.7,0.52,0.93,0.72,0.45
0.71,0.48,0.95,0.71,0.43
0.72,0.48,0.95,0.71,0.43
0.73,0.45,0.95,0.7,0.4
0.74,0.43,0.95,0.69,0.38
0.75,0.43,0.95,0.69,0.38
0.76,0.4,0.95,0.67,0.36
0.77,0.38,0.95,0.66,0.33
0.78,0.38,0.95,0.66,0.33
0.79,0.36,0.95,0.65,0.31
0.8,0.33,0.95,0.64,0.28
0.81,0.33,0.95,0.64,0.28
0.82,0.31,0.95,0.63,0.26
0.83,0.29,0.95,0.61,0.24
0.84,0.29,0.95,0.61,0.24
0.85,0.26,0.98,0.61,0.24
0.86,0.26,0.98,0.61,0.24
0.87,0.24,0.98,0.6,0.21
0.88,0.21,0.98,0.59,0.19
0.89,0.21,0.98,0.59,0.19
0.9,0.19,0.98,0.58,0.17
0.91,0.14,0.98,0.55,0.12
0.92,0.14,0.98,0.55,0.12
0.93,0.14,0.98,0.55,0.12
0.94,0.14,0.98,0.55,0.12
0.95,0.12,0.98,0.54,0.09
0.96,0.1,1,0.54,0.1
0.97,0.1,1,0.54,0.1
0.98,0.1,1,0.54,0.1
0.99,0.1,1,0.54,0.1
1,0.1,1,0.54,0.1
