"thresholds","sen","spe","acc","youden"
0,1,0,0.37,0
0.1,1,0,0.37,0
0.2,1,0,0.37,0
0.3,1,0,0.37,0
0.4,1,0,0.37,0
0.5,1,0.04,0.4,0.04
0.6,1,0.19,0.49,0.19
0.7,1,0.23,0.52,0.23
0.8,1,0.25,0.53,0.25
0.9,1,0.25,0.53,0.25
1,1,0.27,0.54,0.27
1.1,1,0.27,0.54,0.27
1.2,1,0.27,0.54,0.27
1.3,1,0.27,0.54,0.27
1.4,1,0.27,0.54,0.27
1.5,1,0.27,0.54,0.27
1.6,1,0.29,0.55,0.29
1.7,1,0.31,0.57,0.31
1.8,1,0.31,0.57,0.31
1.9,1,0.31,0.57,0.31
2,1,0.31,0.57,0.31
2.1,1,0.33,0.58,0.33
2.2,1,0.33,0.58,0.33
2.3,1,0.33,0.58,0.33
2.4,1,0.33,0.58,0.33
2.5,1,0.33,0.58,0.33
2.6,1,0.33,0.58,0.33
2.7,1,0.33,0.58,0.33
2.8,1,0.33,0.58,0.33
2.9,1,0.33,0.58,0.33
3,1,0.33,0.58,0.33
3.1,1,0.33,0.58,0.33
3.2,1,0.33,0.58,0.33
3.3,1,0.33,0.58,0.33
3.4,1,0.33,0.58,0.33
3.5,1,0.33,0.58,0.33
3.6,1,0.33,0.58,0.33
3.7,1,0.33,0.58,0.33
3.8,1,0.33,0.58,0.33
3.9,1,0.37,0.6,0.37
4,1,0.37,0.6,0.37
4.1,1,0.37,0.6,0.37
4.2,1,0.38,0.61,0.38
4.3,1,0.42,0.64,0.42
4.4,1,0.46,0.66,0.46
4.5,1,0.48,0.67,0.48
4.6,1,0.48,0.67,0.48
4.7,1,0.48,0.67,0.48
4.8,1,0.48,0.67,0.48
4.9,1,0.48,0.67,0.48
5,1,0.48,0.67,0.48
5.1,1,0.5,0.69,0.5
5.2,1,0.5,0.69,0.5
5.3,1,0.5,0.69,0.5
5.4,1,0.5,0.69,0.5
5.5,1,0.52,0.7,0.52
5.6,1,0.54,0.71,0.54
5.7,1,0.54,0.71,0.54
5.8,1,0.54,0.71,0.54
5.9,1,0.54,0.71,0.54
6,1,0.54,0.71,0.54
6.1,1,0.56,0.72,0.56
6.2,1,0.58,0.73,0.58
6.3,1,0.58,0.73,0.58
6.4,1,0.6,0.75,0.6
6.5,1,0.6,0.75,0.6
6.6,1,0.6,0.75,0.6
6.7,1,0.6,0.75,0.6
6.8,1,0.6,0.75,0.6
6.9,1,0.6,0.75,0.6
7,1,0.62,0.76,0.62
7.1,1,0.62,0.76,0.62
7.2,1,0.63,0.77,0.63
7.3,1,0.63,0.77,0.63
7.4,1,0.63,0.77,0.63
7.5,1,0.63,0.77,0.63
7.6,1,0.63,0.77,0.63
7.7,1,0.65,0.78,0.65
7.8,1,0.67,0.8,0.67
7.9,1,0.67,0.8,0.67
8,1,0.67,0.8,0.67
8.1,1,0.67,0.8,0.67
8.2,1,0.67,0.8,0.67
8.3,1,0.69,0.81,0.69
8.4,1,0.69,0.81,0.69
8.5,1,0.73,0.83,0.73
8.6,1,0.73,0.83,0.73
8.7,0.97,0.73,0.82,0.7
8.8,0.97,0.75,0.83,0.72
8.9,0.97,0.77,0.84,0.74
9,0.97,0.77,0.84,0.74
9.1,0.97,0.77,0.84,0.74
9.2,0.97,0.77,0.84,0.74
9.3,0.97,0.77,0.84,0.74
9.4,0.97,0.77,0.84,0.74
9.5,0.97,0.77,0.84,0.74
9.6,0.97,0.77,0.84,0.74
9.7,0.97,0.77,0.84,0.74
9.8,0.97,0.77,0.84,0.74
9.9,0.97,0.77,0.84,0.74
10,0.97,0.77,0.84,0.74
10.1,0.97,0.77,0.84,0.74
10.2,0.94,0.77,0.83,0.7
10.3,0.94,0.77,0.83,0.7
10.4,0.94,0.77,0.83,0.7
10.5,0.9,0.77,0.82,0.67
10.6,0.9,0.77,0.82,0.67
10.7,0.9,0.77,0.82,0.67
10.8,0.9,0.77,0.82,0.67
10.9,0.9,0.77,0.82,0.67
11,0.9,0.77,0.82,0.67
11.1,0.9,0.77,0.82,0.67
11.2,0.9,0.79,0.83,0.69
11.3,0.9,0.79,0.83,0.69
11.4,0.9,0.79,0.83,0.69
11.5,0.9,0.79,0.83,0.69
11.6,0.9,0.79,0.83,0.69
11.7,0.9,0.79,0.83,0.69
11.8,0.87,0.81,0.83,0.68
11.9,0.87,0.83,0.84,0.7
12,0.87,0.83,0.84,0.7
12.1,0.87,0.83,0.84,0.7
12.2,0.87,0.83,0.84,0.7
12.3,0.87,0.83,0.84,0.7
12.4,0.87,0.83,0.84,0.7
12.5,0.87,0.83,0.84,0.7
12.6,0.87,0.83,0.84,0.7
12.7,0.87,0.83,0.84,0.7
12.8,0.87,0.83,0.84,0.7
12.9,0.87,0.83,0.84,0.7
13,0.87,0.83,0.84,0.7
13.1,0.87,0.83,0.84,0.7
13.2,0.87,0.83,0.84,0.7
13.3,0.87,0.85,0.86,0.72
13.4,0.87,0.87,0.87,0.74
13.5,0.87,0.87,0.87,0.74
13.6,0.87,0.87,0.87,0.74
13.7,0.87,0.87,0.87,0.74
13.8,0.87,0.88,0.88,0.76
13.9,0.81,0.88,0.86,0.69
14,0.81,0.88,0.86,0.69
14.1,0.81,0.88,0.86,0.69
14.2,0.81,0.88,0.86,0.69
14.3,0.81,0.88,0.86,0.69
14.4,0.77,0.88,0.84,0.66
14.5,0.77,0.88,0.84,0.66
14.6,0.77,0.88,0.84,0.66
14.7,0.74,0.88,0.83,0.63
14.8,0.74,0.88,0.83,0.63
14.9,0.74,0.88,0.83,0.63
15,0.74,0.88,0.83,0.63
15.1,0.68,0.88,0.81,0.56
15.2,0.68,0.88,0.81,0.56
15.3,0.68,0.88,0.81,0.56
15.4,0.68,0.88,0.81,0.56
15.5,0.68,0.88,0.81,0.56
15.6,0.65,0.88,0.8,0.53
15.7,0.65,0.88,0.8,0.53
15.8,0.61,0.88,0.78,0.5
15.9,0.61,0.88,0.78,0.5
16,0.61,0.88,0.78,0.5
16.1,0.61,0.88,0.78,0.5
16.2,0.61,0.9,0.8,0.52
16.3,0.61,0.9,0.8,0.52
16.4,0.61,0.9,0.8,0.52
16.5,0.61,0.9,0.8,0.52
16.6,0.61,0.9,0.8,0.52
16.7,0.61,0.9,0.8,0.52
16.8,0.61,0.9,0.8,0.52
16.9,0.61,0.9,0.8,0.52
17,0.61,0.9,0.8,0.52
17.1,0.61,0.9,0.8,0.52
17.2,0.61,0.9,0.8,0.52
17.3,0.61,0.9,0.8,0.52
17.4,0.61,0.9,0.8,0.52
17.5,0.61,0.9,0.8,0.52
17.6,0.61,0.9,0.8,0.52
17.7,0.61,0.9,0.8,0.52
17.8,0.61,0.9,0.8,0.52
17.9,0.61,0.92,0.81,0.54
18,0.61,0.92,0.81,0.54
18.1,0.61,0.92,0.81,0.54
18.2,0.61,0.92,0.81,0.54
18.3,0.61,0.92,0.81,0.54
18.4,0.58,0.92,0.8,0.5
18.5,0.58,0.92,0.8,0.5
18.6,0.58,0.92,0.8,0.5
18.7,0.58,0.92,0.8,0.5
18.8,0.58,0.92,0.8,0.5
18.9,0.58,0.92,0.8,0.5
19,0.58,0.92,0.8,0.5
19.1,0.58,0.92,0.8,0.5
19.2,0.58,0.92,0.8,0.5
19.3,0.58,0.92,0.8,0.5
19.4,0.58,0.94,0.81,0.52
19.5,0.58,0.94,0.81,0.52
19.6,0.58,0.94,0.81,0.52
19.7,0.58,0.94,0.81,0.52
19.8,0.58,0.94,0.81,0.52
19.9,0.58,0.94,0.81,0.52
20,0.58,0.94,0.81,0.52
20.1,0.58,0.94,0.81,0.52
20.2,0.58,0.94,0.81,0.52
20.3,0.58,0.94,0.81,0.52
20.4,0.58,0.94,0.81,0.52
20.5,0.58,0.94,0.81,0.52
20.6,0.58,0.94,0.81,0.52
20.7,0.55,0.94,0.8,0.49
20.8,0.52,0.94,0.78,0.46
20.9,0.52,0.94,0.78,0.46
21,0.48,0.94,0.77,0.43
21.1,0.48,0.94,0.77,0.43
21.2,0.48,0.94,0.77,0.43
21.3,0.48,0.94,0.77,0.43
21.4,0.48,0.94,0.77,0.43
21.5,0.48,0.94,0.77,0.43
21.6,0.48,0.94,0.77,0.43
21.7,0.48,0.96,0.78,0.45
21.8,0.48,0.96,0.78,0.45
21.9,0.48,0.96,0.78,0.45
22,0.48,0.96,0.78,0.45
22.1,0.48,0.96,0.78,0.45
22.2,0.45,0.96,0.77,0.41
22.3,0.42,0.96,0.76,0.38
22.4,0.42,0.96,0.76,0.38
22.5,0.42,0.96,0.76,0.38
22.6,0.42,0.96,0.76,0.38
