"thresholds","sen","spe","acc","youden"
22.7,0.42,0.96,0.76,0.38
22.8,0.39,0.96,0.75,0.35
22.9,0.39,0.96,0.75,0.35
23,0.39,0.96,0.75,0.35
23.1,0.39,0.96,0.75,0.35
23.2,0.39,0.96,0.75,0.35
23.3,0.39,0.96,0.75,0.35
23.4,0.39,0.96,0.75,0.35
23.5,0.39,0.96,0.75,0.35
23.6,0.39,0.96,0.75,0.35
23.7,0.39,0.96,0.75,0.35
23.8,0.39,0.96,0.75,0.35
23.9,0.39,0.96,0.75,0.35
24,0.39,0.96,0.75,0.35
24.1,0.39,0.96,0.75,0.35
24.2,0.39,0.96,0.75,0.35
24.3,0.39,0.96,0.75,0.35
24.4,0.39,0.96,0.75,0.35
24.5,0.39,0.96,0.75,0.35
24.6,0.39,0.96,0.75,0.35
24.7,0.39,0.96,0.75,0.35
24.8,0.39,0.96,0.75,0.35
24.9,0.39,0.96,0.75,0.35
25,0.39,0.96,0.75,0.35
25.1,0.35,0.96,0.73,0.32
25.2,0.35,0.96,0.73,0.32
25.3,0.35,0.96,0.73,0.32
25.4,0.35,0.96,0.73,0.32
25.5,0.35,0.96,0.73,0.32
25.6,0.35,0.96,0.73,0.32
25.7,0.35,0.96,0.73,0.32
25.8,0.35,0.96,0.73,0.32
25.9,0.35,0.96,0.73,0.32
26,0.35,0.96,0.73,0.32
26.1,0.35,0.96,0.73,0.32
26.2,0.35,0.96,0.73,0.32
26.3,0.35,0.96,0.73,0.32
26.4,0.35,0.96,0.73,0.32
26.5,0.35,0.96,0.73,0.32
26.6,0.35,0.96,0.73,0.32
26.7,0.35,0.96,0.73,0.32
26.8,0.35,0.96,0.73,0.32
26.9,0.35,0.96,0.73,0.32
27,0.35,0.96,0.73,0.32
27.1,0.35,0.96,0.73,0.32
27.2,0.35,0.96,0.73,0.32
27.3,0.32,0.96,0.72,0.28
27.4,0.32,0.96,0.72,0.28
27.5,0.32,0.96,0.72,0.28
27.6,0.29,0.96,0.71,0.25
27.7,0.29,0.96,0.71,0.25
27.8,0.29,0.96,0.71,0.25
27.9,0.26,0.96,0.7,0.22
28,0.23,0.96,0.69,0.19
28.1,0.23,0.96,0.69,0.19
28.2,0.23,0.96,0.69,0.19
28.3,0.23,0.96,0.69,0.19
28.4,0.23,0.96,0.69,0.19
28.5,0.19,0.96,0.67,0.16
28.6,0.19,0.96,0.67,0.16
28.7,0.19,0.96,0.67,0.16
28.8,0.19,0.96,0.67,0.16
28.9,0.16,0.96,0.66,0.12
29,0.16,0.96,0.66,0.12
29.1,0.16,0.96,0.66,0.12
29.2,0.16,0.96,0.66,0.12
29.3,0.16,0.96,0.66,0.12
29.4,0.16,0.96,0.66,0.12
29.5,0.16,0.96,0.66,0.12
29.6,0.16,0.96,0.66,0.12
29.7,0.16,0.96,0.66,0.12
29.8,0.16,0.96,0.66,0.12
29.9,0.16,0.96,0.66,0.12
30,0.16,0.96,0.66,0.12
